Year,Site,Transect,Plot,Plant_ID,PlotSlope,Prev_year_precip,Change_TotalCulms,Change_ReproductiveCulms,Change_BGDensity,Change_BGCover,Change_ShrubCover,Change_HerbCover,Init_BGDensity,Init_BGCover,Init_ShrubCover,Init_HerbCover
2021,TumamocHill,5_2,261,12,6.6,367.02,-18,-11,7.375,0,-3,15,3.125,40,8,6
2022,TumamocHill,5_2,261,12,6.6,243.73,0,0,0.0625,-10,3,-16,3.125,40,8,6
2021,TumamocHill,5_2,261,13,6.6,367.02,-17,-6,7.375,0,-3,15,3.125,40,8,6
2022,TumamocHill,5_2,261,13,6.6,243.73,3,3,0.0625,-10,3,-16,3.125,40,8,6
2021,TumamocHill,5_2,261,14,6.6,367.02,-20,-4,7.375,0,-3,15,3.125,40,8,6
2022,TumamocHill,5_2,261,14,6.6,243.73,8,1,0.0625,-10,3,-16,3.125,40,8,6
2021,TumamocHill,5_2,261,15,6.6,367.02,34,12,7.375,0,-3,15,3.125,40,8,6
2022,TumamocHill,5_2,261,15,6.6,243.73,20,-4,0.0625,-10,3,-16,3.125,40,8,6
2021,TumamocHill,5_2,261,16,6.6,367.02,11,1,7.375,0,-3,15,3.125,40,8,6
2022,TumamocHill,5_2,261,16,6.6,243.73,-13,-16,0.0625,-10,3,-16,3.125,40,8,6
2021,TumamocHill,5_2,261,17,6.6,367.02,31,14,7.375,0,-3,15,3.125,40,8,6
2022,TumamocHill,5_2,261,17,6.6,243.73,10,-11,0.0625,-10,3,-16,3.125,40,8,6
2021,TumamocHill,5_2,261,18,6.6,367.02,49,36,7.375,0,-3,15,3.125,40,8,6
2022,TumamocHill,5_2,261,18,6.6,243.73,2,-29,0.0625,-10,3,-16,3.125,40,8,6
2021,TumamocHill,5_2,261,19,6.6,367.02,-2,1,7.375,0,-3,15,3.125,40,8,6
2022,TumamocHill,5_2,261,19,6.6,243.73,9,0,0.0625,-10,3,-16,3.125,40,8,6
2021,TumamocHill,5_2,261,20,6.6,367.02,-4,6,7.375,0,-3,15,3.125,40,8,6
2022,TumamocHill,5_2,261,20,6.6,243.73,8,-2,0.0625,-10,3,-16,3.125,40,8,6
2021,TumamocHill,5_2,262,21,14.6,367.02,31,15,1.6875,20,-25,6,2.5,30,40,26
2022,TumamocHill,5_2,262,21,14.6,243.73,16,13,6.9375,-23,15,-19,2.5,30,40,26
2021,TumamocHill,5_2,262,22,14.6,367.02,-17,-10,1.6875,20,-25,6,2.5,30,40,26
2022,TumamocHill,5_2,262,22,14.6,243.73,0,0,6.9375,-23,15,-19,2.5,30,40,26
2021,TumamocHill,5_2,262,23,14.6,367.02,10,1,1.6875,20,-25,6,2.5,30,40,26
2022,TumamocHill,5_2,262,23,14.6,243.73,24,18,6.9375,-23,15,-19,2.5,30,40,26
2021,TumamocHill,5_2,262,24,14.6,367.02,32,11,1.6875,20,-25,6,2.5,30,40,26
2022,TumamocHill,5_2,262,24,14.6,243.73,4,4,6.9375,-23,15,-19,2.5,30,40,26
2021,TumamocHill,5_2,262,25,14.6,367.02,-31,-25,1.6875,20,-25,6,2.5,30,40,26
2022,TumamocHill,5_2,262,25,14.6,243.73,0,0,6.9375,-23,15,-19,2.5,30,40,26
2021,TumamocHill,5_2,262,26,14.6,367.02,-12,20,1.6875,20,-25,6,2.5,30,40,26
2022,TumamocHill,5_2,262,26,14.6,243.73,66,-10,6.9375,-23,15,-19,2.5,30,40,26
2021,TumamocHill,5_2,262,27,14.6,367.02,-10,-2,1.6875,20,-25,6,2.5,30,40,26
2022,TumamocHill,5_2,262,27,14.6,243.73,-20,-9,6.9375,-23,15,-19,2.5,30,40,26
2021,TumamocHill,5_2,262,28,14.6,367.02,-57,-28,1.6875,20,-25,6,2.5,30,40,26
2022,TumamocHill,5_2,262,28,14.6,243.73,28,8,6.9375,-23,15,-19,2.5,30,40,26
2021,TumamocHill,5_2,262,29,14.6,367.02,26,12,1.6875,20,-25,6,2.5,30,40,26
2022,TumamocHill,5_2,262,29,14.6,243.73,25,-10,6.9375,-23,15,-19,2.5,30,40,26
2021,TumamocHill,5_2,262,30,14.6,367.02,14,31,1.6875,20,-25,6,2.5,30,40,26
2022,TumamocHill,5_2,262,30,14.6,243.73,38,-18,6.9375,-23,15,-19,2.5,30,40,26
2021,TumamocHill,5_3,40,31,8,366.99,10,26,3.5,15,0,-9.5,5.1875,30,10,23
2022,TumamocHill,5_3,40,31,8,243.62,-2,-7,8.0625,-7,0,-11.5,5.1875,30,10,23
2021,TumamocHill,5_3,40,32,8,366.99,-5,0,3.5,15,0,-9.5,5.1875,30,10,23
2022,TumamocHill,5_3,40,32,8,243.62,0,0,8.0625,-7,0,-11.5,5.1875,30,10,23
2021,TumamocHill,5_3,40,33,8,366.99,-11,-2,3.5,15,0,-9.5,5.1875,30,10,23
2022,TumamocHill,5_3,40,33,8,243.62,0,0,8.0625,-7,0,-11.5,5.1875,30,10,23
2021,TumamocHill,5_3,40,34,8,366.99,22,6,3.5,15,0,-9.5,5.1875,30,10,23
2022,TumamocHill,5_3,40,34,8,243.62,36,19,8.0625,-7,0,-11.5,5.1875,30,10,23
2021,TumamocHill,5_3,40,35,8,366.99,6,10,3.5,15,0,-9.5,5.1875,30,10,23
2022,TumamocHill,5_3,40,35,8,243.62,41,27,8.0625,-7,0,-11.5,5.1875,30,10,23
2021,TumamocHill,5_3,40,36,8,366.99,1,-2,3.5,15,0,-9.5,5.1875,30,10,23
2022,TumamocHill,5_3,40,36,8,243.62,-5,0,8.0625,-7,0,-11.5,5.1875,30,10,23
2021,TumamocHill,5_3,40,37,8,366.99,-6,-2,3.5,15,0,-9.5,5.1875,30,10,23
2022,TumamocHill,5_3,40,37,8,243.62,29,9,8.0625,-7,0,-11.5,5.1875,30,10,23
2021,TumamocHill,5_3,40,38,8,366.99,20,13,3.5,15,0,-9.5,5.1875,30,10,23
2022,TumamocHill,5_3,40,38,8,243.62,2,-3,8.0625,-7,0,-11.5,5.1875,30,10,23
2021,TumamocHill,5_3,40,39,8,366.99,-6,-1,3.5,15,0,-9.5,5.1875,30,10,23
2022,TumamocHill,5_3,40,39,8,243.62,0,0,8.0625,-7,0,-11.5,5.1875,30,10,23
2021,TumamocHill,3_1,299,43,21.6,359.41,-16,-7,22.375,35,-5,3.5,2.1875,30,15,2
2021,TumamocHill,3_1,299,44,21.6,359.41,-22,-12,22.375,35,-5,3.5,2.1875,30,15,2
2021,TumamocHill,3_1,299,45,21.6,359.41,-61,-62,22.375,35,-5,3.5,2.1875,30,15,2
2021,TumamocHill,3_1,299,46,21.6,359.41,-46,-35,22.375,35,-5,3.5,2.1875,30,15,2
2021,TumamocHill,3_1,299,47,21.6,359.41,-57,-41,22.375,35,-5,3.5,2.1875,30,15,2
2021,TumamocHill,3_1,299,48,21.6,359.41,-10,-7,22.375,35,-5,3.5,2.1875,30,15,2
2021,TumamocHill,3_1,299,49,21.6,359.41,-29,-22,22.375,35,-5,3.5,2.1875,30,15,2
2021,TumamocHill,3_1,299,50,21.6,359.41,-10,-7,22.375,35,-5,3.5,2.1875,30,15,2
2021,TumamocHill,3_1,299,51,21.6,359.41,-7,-4,22.375,35,-5,3.5,2.1875,30,15,2
2021,TumamocHill,3_1,299,52,21.6,359.41,-47,-26,22.375,35,-5,3.5,2.1875,30,15,2
2021,TumamocHill,3_1,300,53,12,359.41,-52,-36,18.75,42,-7,10.5,3.4375,28,15,2
2021,TumamocHill,3_1,300,54,12,359.41,-14,-6,18.75,42,-7,10.5,3.4375,28,15,2
2021,TumamocHill,3_1,300,55,12,359.41,-12,-6,18.75,42,-7,10.5,3.4375,28,15,2
2021,TumamocHill,3_1,300,56,12,359.41,-7,-4,18.75,42,-7,10.5,3.4375,28,15,2
2021,TumamocHill,3_1,300,57,12,359.41,-15,-9,18.75,42,-7,10.5,3.4375,28,15,2
2021,TumamocHill,3_1,300,58,12,359.41,-23,-20,18.75,42,-7,10.5,3.4375,28,15,2
2021,TumamocHill,3_1,300,59,12,359.41,-12,-6,18.75,42,-7,10.5,3.4375,28,15,2
2021,TumamocHill,3_1,300,60,12,359.41,-18,-8,18.75,42,-7,10.5,3.4375,28,15,2
2021,TumamocHill,3_1,300,61,12,359.41,-13,-6,18.75,42,-7,10.5,3.4375,28,15,2
2021,TumamocHill,3_1,300,62,12,359.41,-20,-9,18.75,42,-7,10.5,3.4375,28,15,2
2021,TumamocHill,3_1,331,63,17.8,359.41,-18,-7,12.75,42,2,6.5,4.0625,38,3,1
2021,TumamocHill,3_1,331,64,17.8,359.41,-8,-2,12.75,42,2,6.5,4.0625,38,3,1
2021,TumamocHill,3_1,331,65,17.8,359.41,-64,-54,12.75,42,2,6.5,4.0625,38,3,1
2021,TumamocHill,3_1,331,66,17.8,359.41,0,-3,12.75,42,2,6.5,4.0625,38,3,1
2021,TumamocHill,3_1,331,67,17.8,359.41,-65,-45,12.75,42,2,6.5,4.0625,38,3,1
2021,TumamocHill,3_1,331,68,17.8,359.41,-2,0,12.75,42,2,6.5,4.0625,38,3,1
2021,TumamocHill,3_1,331,69,17.8,359.41,-13,-7,12.75,42,2,6.5,4.0625,38,3,1
2021,TumamocHill,3_1,331,70,17.8,359.41,-7,-3,12.75,42,2,6.5,4.0625,38,3,1
2021,TumamocHill,3_1,331,71,17.8,359.41,-11,-6,12.75,42,2,6.5,4.0625,38,3,1
2021,TumamocHill,3_1,331,72,17.8,359.41,-8,-5,12.75,42,2,6.5,4.0625,38,3,1
2021,TumamocHill,5_3,41,73,16.2,366.99,-7,-3,5.1875,21,-18,-33,2.9375,12,33,55
2022,TumamocHill,5_3,41,73,16.2,243.62,0,0,1.6875,-15,10,-13,2.9375,12,33,55
2021,TumamocHill,5_3,41,74,16.2,366.99,-5,-3,5.1875,21,-18,-33,2.9375,12,33,55
2022,TumamocHill,5_3,41,74,16.2,243.62,-2,0,1.6875,-15,10,-13,2.9375,12,33,55
2021,TumamocHill,5_3,41,75,16.2,366.99,-21,-14,5.1875,21,-18,-33,2.9375,12,33,55
2022,TumamocHill,5_3,41,75,16.2,243.62,0,0,1.6875,-15,10,-13,2.9375,12,33,55
2021,TumamocHill,5_3,41,76,16.2,366.99,23,9,5.1875,21,-18,-33,2.9375,12,33,55
2022,TumamocHill,5_3,41,76,16.2,243.62,29,18,1.6875,-15,10,-13,2.9375,12,33,55
2021,TumamocHill,5_3,41,78,16.2,366.99,-24,-9,5.1875,21,-18,-33,2.9375,12,33,55
2022,TumamocHill,5_3,41,78,16.2,243.62,0,0,1.6875,-15,10,-13,2.9375,12,33,55
2021,TumamocHill,5_3,41,79,16.2,366.99,-16,-4,5.1875,21,-18,-33,2.9375,12,33,55
2022,TumamocHill,5_3,41,79,16.2,243.62,0,0,1.6875,-15,10,-13,2.9375,12,33,55
2021,TumamocHill,5_3,41,80,16.2,366.99,7,1,5.1875,21,-18,-33,2.9375,12,33,55
2022,TumamocHill,5_3,41,80,16.2,243.62,2,0,1.6875,-15,10,-13,2.9375,12,33,55
2021,TumamocHill,5_3,41,81,16.2,366.99,53,18,5.1875,21,-18,-33,2.9375,12,33,55
2022,TumamocHill,5_3,41,81,16.2,243.62,9,-3,1.6875,-15,10,-13,2.9375,12,33,55
2021,TumamocHill,5_3,41,82,16.2,366.99,36,22,5.1875,21,-18,-33,2.9375,12,33,55
2022,TumamocHill,5_3,41,82,16.2,243.62,15,13,1.6875,-15,10,-13,2.9375,12,33,55
2021,TumamocHill,5_3,40,83,8,366.99,14,11,3.5,15,0,-9.5,5.1875,30,10,23
2022,TumamocHill,5_3,40,83,8,243.62,9,1,8.0625,-7,0,-11.5,5.1875,30,10,23
2021,TumamocHill,5_3,42,84,18.8,366.99,27,19,1.0625,7,-8,13,2.8125,18,23,15
2022,TumamocHill,5_3,42,84,18.8,243.62,12,3,10.5625,13,20,-17,2.8125,18,23,15
2021,TumamocHill,5_3,42,85,18.8,366.99,-4,0,1.0625,7,-8,13,2.8125,18,23,15
2022,TumamocHill,5_3,42,85,18.8,243.62,0,0,10.5625,13,20,-17,2.8125,18,23,15
2021,TumamocHill,5_3,42,86,18.8,366.99,-17,-6,1.0625,7,-8,13,2.8125,18,23,15
2022,TumamocHill,5_3,42,86,18.8,243.62,33,15,10.5625,13,20,-17,2.8125,18,23,15
2021,TumamocHill,5_3,42,87,18.8,366.99,-5,0,1.0625,7,-8,13,2.8125,18,23,15
2022,TumamocHill,5_3,42,87,18.8,243.62,0,0,10.5625,13,20,-17,2.8125,18,23,15
2021,TumamocHill,5_3,42,88,18.8,366.99,-7,-1,1.0625,7,-8,13,2.8125,18,23,15
2022,TumamocHill,5_3,42,88,18.8,243.62,0,0,10.5625,13,20,-17,2.8125,18,23,15
2021,TumamocHill,5_3,42,89,18.8,366.99,22,6,1.0625,7,-8,13,2.8125,18,23,15
2022,TumamocHill,5_3,42,89,18.8,243.62,-6,2,10.5625,13,20,-17,2.8125,18,23,15
2021,TumamocHill,5_3,42,90,18.8,366.99,6,4,1.0625,7,-8,13,2.8125,18,23,15
2022,TumamocHill,5_3,42,90,18.8,243.62,9,-3,10.5625,13,20,-17,2.8125,18,23,15
2021,TumamocHill,5_3,42,91,18.8,366.99,-23,-17,1.0625,7,-8,13,2.8125,18,23,15
2022,TumamocHill,5_3,42,91,18.8,243.62,4,3,10.5625,13,20,-17,2.8125,18,23,15
2021,TumamocHill,5_3,42,92,18.8,366.99,4,5,1.0625,7,-8,13,2.8125,18,23,15
2022,TumamocHill,5_3,42,92,18.8,243.62,24,15,10.5625,13,20,-17,2.8125,18,23,15
2021,TumamocHill,5_3,42,93,18.8,366.99,-13,-4,1.0625,7,-8,13,2.8125,18,23,15
2022,TumamocHill,5_3,42,93,18.8,243.62,0,0,10.5625,13,20,-17,2.8125,18,23,15
2021,TumamocHill,5_5,96,97,12.8,360.42,10,1,3.875,40,-5,2.5,3.8125,50,10,1
2022,TumamocHill,5_5,96,97,12.8,244.44,-10,0,0.625,-40,5,-3.5,3.8125,50,10,1
2021,TumamocHill,5_5,96,98,12.8,360.42,-1,-1,3.875,40,-5,2.5,3.8125,50,10,1
2022,TumamocHill,5_5,96,98,12.8,244.44,0,0,0.625,-40,5,-3.5,3.8125,50,10,1
2021,TumamocHill,5_5,96,99,12.8,360.42,43,9,3.875,40,-5,2.5,3.8125,50,10,1
2022,TumamocHill,5_5,96,99,12.8,244.44,-2,7,0.625,-40,5,-3.5,3.8125,50,10,1
2021,TumamocHill,5_5,96,101,12.8,360.42,15,-3,3.875,40,-5,2.5,3.8125,50,10,1
2022,TumamocHill,5_5,96,101,12.8,244.44,1,13,0.625,-40,5,-3.5,3.8125,50,10,1
2021,TumamocHill,5_5,96,102,12.8,360.42,33,35,3.875,40,-5,2.5,3.8125,50,10,1
2022,TumamocHill,5_5,96,102,12.8,244.44,17,-8,0.625,-40,5,-3.5,3.8125,50,10,1
2021,TumamocHill,5_5,96,103,12.8,360.42,33,25,3.875,40,-5,2.5,3.8125,50,10,1
2022,TumamocHill,5_5,96,103,12.8,244.44,-14,-4,0.625,-40,5,-3.5,3.8125,50,10,1
2021,TumamocHill,5_5,96,104,12.8,360.42,25,30,3.875,40,-5,2.5,3.8125,50,10,1
2022,TumamocHill,5_5,96,104,12.8,244.44,7,-12,0.625,-40,5,-3.5,3.8125,50,10,1
2021,TumamocHill,5_5,96,105,12.8,360.42,30,13,3.875,40,-5,2.5,3.8125,50,10,1
2022,TumamocHill,5_5,96,105,12.8,244.44,10,-4,0.625,-40,5,-3.5,3.8125,50,10,1
2021,TumamocHill,5_5,96,106,12.8,360.42,-4,-5,3.875,40,-5,2.5,3.8125,50,10,1
2022,TumamocHill,5_5,96,106,12.8,244.44,-1,2,0.625,-40,5,-3.5,3.8125,50,10,1
2021,TumamocHill,5_5,95,107,9.2,360.42,-9,2,1.6875,30,-25,2.5,3.75,60,40,1
2022,TumamocHill,5_5,95,107,9.2,244.44,-4,4,0.3125,-23,7,-3.5,3.75,60,40,1
2021,TumamocHill,5_5,95,108,9.2,360.42,-8,-3,1.6875,30,-25,2.5,3.75,60,40,1
2022,TumamocHill,5_5,95,108,9.2,244.44,-2,0,0.3125,-23,7,-3.5,3.75,60,40,1
2021,TumamocHill,5_5,95,109,9.2,360.42,38,46,1.6875,30,-25,2.5,3.75,60,40,1
2022,TumamocHill,5_5,95,109,9.2,244.44,2,-40,0.3125,-23,7,-3.5,3.75,60,40,1
2021,TumamocHill,5_5,95,110,9.2,360.42,-13,-10,1.6875,30,-25,2.5,3.75,60,40,1
2022,TumamocHill,5_5,95,110,9.2,244.44,4,4,0.3125,-23,7,-3.5,3.75,60,40,1
2021,TumamocHill,5_5,95,111,9.2,360.42,18,23,1.6875,30,-25,2.5,3.75,60,40,1
2022,TumamocHill,5_5,95,111,9.2,244.44,-3,-15,0.3125,-23,7,-3.5,3.75,60,40,1
2021,TumamocHill,5_5,95,112,9.2,360.42,-5,0,1.6875,30,-25,2.5,3.75,60,40,1
2022,TumamocHill,5_5,95,112,9.2,244.44,0,0,0.3125,-23,7,-3.5,3.75,60,40,1
2021,TumamocHill,5_5,95,113,9.2,360.42,22,-14,1.6875,30,-25,2.5,3.75,60,40,1
2022,TumamocHill,5_5,95,113,9.2,244.44,14,12,0.3125,-23,7,-3.5,3.75,60,40,1
2021,TumamocHill,5_5,95,114,9.2,360.42,15,-4,1.6875,30,-25,2.5,3.75,60,40,1
2022,TumamocHill,5_5,95,114,9.2,244.44,10,15,0.3125,-23,7,-3.5,3.75,60,40,1
2021,TumamocHill,5_5,95,115,9.2,360.42,14,20,1.6875,30,-25,2.5,3.75,60,40,1
2022,TumamocHill,5_5,95,115,9.2,244.44,2,-5,0.3125,-23,7,-3.5,3.75,60,40,1
2021,TumamocHill,5_5,95,116,9.2,360.42,-21,-8,1.6875,30,-25,2.5,3.75,60,40,1
2022,TumamocHill,5_5,95,116,9.2,244.44,75,32,0.3125,-23,7,-3.5,3.75,60,40,1
2021,TumamocHill,5_5,96,117,12.8,360.42,-3,4,3.875,40,-5,2.5,3.8125,50,10,1
2021,TumamocHill,5_5,94,118,6.6,360.42,31,15,0.3125,45,-10,2.5,2.9375,45,10,1
2022,TumamocHill,5_5,94,118,6.6,244.44,-6,-1,0.1875,-24,0.5,-3.5,2.9375,45,10,1
2021,TumamocHill,5_5,94,119,6.6,360.42,-10,-6,0.3125,45,-10,2.5,2.9375,45,10,1
2022,TumamocHill,5_5,94,119,6.6,244.44,-1,-6,0.1875,-24,0.5,-3.5,2.9375,45,10,1
2021,TumamocHill,5_5,94,120,6.6,360.42,43,38,0.3125,45,-10,2.5,2.9375,45,10,1
2022,TumamocHill,5_5,94,120,6.6,244.44,-13,-41,0.1875,-24,0.5,-3.5,2.9375,45,10,1
2021,TumamocHill,5_5,94,121,6.6,360.42,21,5,0.3125,45,-10,2.5,2.9375,45,10,1
2022,TumamocHill,5_5,94,121,6.6,244.44,10,11,0.1875,-24,0.5,-3.5,2.9375,45,10,1
2021,TumamocHill,5_5,94,122,6.6,360.42,1,7,0.3125,45,-10,2.5,2.9375,45,10,1
2022,TumamocHill,5_5,94,122,6.6,244.44,-6,-13,0.1875,-24,0.5,-3.5,2.9375,45,10,1
2021,TumamocHill,5_5,94,123,6.6,360.42,-17,-19,0.3125,45,-10,2.5,2.9375,45,10,1
2022,TumamocHill,5_5,94,123,6.6,244.44,16,-3,0.1875,-24,0.5,-3.5,2.9375,45,10,1
2021,TumamocHill,5_5,94,124,6.6,360.42,-5,-1,0.3125,45,-10,2.5,2.9375,45,10,1
2021,TumamocHill,5_5,94,125,6.6,360.42,-21,-20,0.3125,45,-10,2.5,2.9375,45,10,1
2022,TumamocHill,5_5,94,125,6.6,244.44,103,44,0.1875,-24,0.5,-3.5,2.9375,45,10,1
2021,TumamocHill,5_5,94,126,6.6,360.42,8,-6,0.3125,45,-10,2.5,2.9375,45,10,1
2022,TumamocHill,5_5,94,126,6.6,244.44,7,4,0.1875,-24,0.5,-3.5,2.9375,45,10,1
2021,TumamocHill,5_5,94,127,6.6,360.42,34,30,0.3125,45,-10,2.5,2.9375,45,10,1
2022,TumamocHill,5_5,94,127,6.6,244.44,26,-1,0.1875,-24,0.5,-3.5,2.9375,45,10,1
2021,TumamocHill,5_6,218,128,17,360.76,16,10,19.6875,30,0,10,4.75,30,0,3
2022,TumamocHill,5_6,218,128,17,244.38,45,-10,-15.125,-37,0,-12.5,4.75,30,0,3
2021,TumamocHill,5_6,218,129,17,360.76,-3,-6,19.6875,30,0,10,4.75,30,0,3
2022,TumamocHill,5_6,218,129,17,244.38,-6,0,-15.125,-37,0,-12.5,4.75,30,0,3
2021,TumamocHill,5_6,218,130,17,360.76,4,-1,19.6875,30,0,10,4.75,30,0,3
2022,TumamocHill,5_6,218,130,17,244.38,-5,0,-15.125,-37,0,-12.5,4.75,30,0,3
2021,TumamocHill,5_6,218,131,17,360.76,-6,-7,19.6875,30,0,10,4.75,30,0,3
2022,TumamocHill,5_6,218,131,17,244.38,-9,0,-15.125,-37,0,-12.5,4.75,30,0,3
2021,TumamocHill,5_6,218,132,17,360.76,-3,-6,19.6875,30,0,10,4.75,30,0,3
2022,TumamocHill,5_6,218,132,17,244.38,-5,0,-15.125,-37,0,-12.5,4.75,30,0,3
2021,TumamocHill,5_6,218,133,17,360.76,1,-3,19.6875,30,0,10,4.75,30,0,3
2022,TumamocHill,5_6,218,133,17,244.38,-6,0,-15.125,-37,0,-12.5,4.75,30,0,3
2021,TumamocHill,5_6,218,134,17,360.76,-20,-18,19.6875,30,0,10,4.75,30,0,3
2022,TumamocHill,5_6,218,134,17,244.38,13,-9,-15.125,-37,0,-12.5,4.75,30,0,3
2021,TumamocHill,5_6,218,135,17,360.76,-10,-13,19.6875,30,0,10,4.75,30,0,3
2022,TumamocHill,5_6,218,135,17,244.38,-4,0,-15.125,-37,0,-12.5,4.75,30,0,3
2021,TumamocHill,5_6,218,136,17,360.76,-17,-16,19.6875,30,0,10,4.75,30,0,3
2022,TumamocHill,5_6,218,136,17,244.38,0,0,-15.125,-37,0,-12.5,4.75,30,0,3
2021,TumamocHill,5_6,218,137,17,360.76,-2,-3,19.6875,30,0,10,4.75,30,0,3
2022,TumamocHill,5_6,218,137,17,244.38,-1,0,-15.125,-37,0,-12.5,4.75,30,0,3
2021,TumamocHill,5_6,219,138,16.4,360.76,-11,-13,11.125,35,0,8.5,5.375,40,10,3.5
2022,TumamocHill,5_6,219,138,16.4,244.38,-5,0,-9.75,-50,-3,-11,5.375,40,10,3.5
2021,TumamocHill,5_6,219,139,16.4,360.76,-16,-10,11.125,35,0,8.5,5.375,40,10,3.5
2022,TumamocHill,5_6,219,139,16.4,244.38,0,0,-9.75,-50,-3,-11,5.375,40,10,3.5
2021,TumamocHill,5_6,219,140,16.4,360.76,-6,-5,11.125,35,0,8.5,5.375,40,10,3.5
2022,TumamocHill,5_6,219,140,16.4,244.38,0,0,-9.75,-50,-3,-11,5.375,40,10,3.5
2021,TumamocHill,5_6,219,141,16.4,360.76,-8,-5,11.125,35,0,8.5,5.375,40,10,3.5
2022,TumamocHill,5_6,219,141,16.4,244.38,0,0,-9.75,-50,-3,-11,5.375,40,10,3.5
2021,TumamocHill,5_6,219,142,16.4,360.76,0,-1,11.125,35,0,8.5,5.375,40,10,3.5
2022,TumamocHill,5_6,219,142,16.4,244.38,-2,0,-9.75,-50,-3,-11,5.375,40,10,3.5
2021,TumamocHill,5_6,219,143,16.4,360.76,6,-2,11.125,35,0,8.5,5.375,40,10,3.5
2022,TumamocHill,5_6,219,143,16.4,244.38,-9,0,-9.75,-50,-3,-11,5.375,40,10,3.5
2021,TumamocHill,5_6,219,144,16.4,360.76,-10,-6,11.125,35,0,8.5,5.375,40,10,3.5
2022,TumamocHill,5_6,219,144,16.4,244.38,0,0,-9.75,-50,-3,-11,5.375,40,10,3.5
2021,TumamocHill,5_6,219,145,16.4,360.76,0,-11,11.125,35,0,8.5,5.375,40,10,3.5
2022,TumamocHill,5_6,219,145,16.4,244.38,-7,-2,-9.75,-50,-3,-11,5.375,40,10,3.5
2021,TumamocHill,5_6,219,146,16.4,360.76,-26,-29,11.125,35,0,8.5,5.375,40,10,3.5
2022,TumamocHill,5_6,219,146,16.4,244.38,4,0,-9.75,-50,-3,-11,5.375,40,10,3.5
2021,TumamocHill,5_6,219,147,16.4,360.76,-12,-11,11.125,35,0,8.5,5.375,40,10,3.5
2022,TumamocHill,5_6,219,147,16.4,244.38,-2,0,-9.75,-50,-3,-11,5.375,40,10,3.5
2021,TumamocHill,5_6,220,148,17.2,360.76,-34,-29,6.375,0,-15,-1,9.125,50,30,4
2022,TumamocHill,5_6,220,148,17.2,244.38,0,0,-7,-30,-5,-2.5,9.125,50,30,4
2021,TumamocHill,5_6,220,149,17.2,360.76,-8,-5,6.375,0,-15,-1,9.125,50,30,4
2022,TumamocHill,5_6,220,149,17.2,244.38,0,0,-7,-30,-5,-2.5,9.125,50,30,4
2021,TumamocHill,5_6,220,150,17.2,360.76,-4,-5,6.375,0,-15,-1,9.125,50,30,4
2022,TumamocHill,5_6,220,150,17.2,244.38,-3,0,-7,-30,-5,-2.5,9.125,50,30,4
