Year,Site,Transect,Plot,PlotSlope,Prev_year_precip,Change_BGDensity,Change_BGCover,Change_ShrubCover,Change_HerbCover,Init_BGDensity,Init_BGCover,Init_ShrubCover,Init_HerbCover
2021,TumamocHill,4_3,257,31.6,373.68,7.9375,25,-6,9,3.4375,25,15,1
2021,TumamocHill,4_3,258,25,373.68,7.625,10,-2,5.5,2.5,25,25,0.5
2021,TumamocHill,4_3,259,24,373.68,6.625,11,0,1,4,25,25,0
2021,TumamocHill,3_3,254,13.4,359.52,26.6875,25,5,13,2.5625,25,10,2
2021,TumamocHill,3_3,255,11.8,359.52,26.375,20,5,25,4.375,30,5,1
2021,TumamocHill,3_3,256,12.8,359.52,32.0625,35,-2,27.5,3.9375,30,15,0.5
2021,TumamocHill,4_1,263,11.8,373.85,7.8125,-40,-3,0,3.0625,80,3,1
2022,TumamocHill,4_1,263,11.8,263.58,-3.6875,15,5,-1,3.0625,80,3,1
2021,TumamocHill,4_1,264,13.8,373.85,11.9375,8,5,1,2,12,10,1.5
2022,TumamocHill,4_1,264,13.8,263.58,-8.0625,-8,4,1,2,12,10,1.5
2021,TumamocHill,4_1,265,11.4,373.85,27.1875,-5,-3,1,3.9375,30,18,1
2022,TumamocHill,4_1,265,11.4,263.58,-23.4375,-10,0,2,3.9375,30,18,1
2021,TumamocHill,4_2,296,8,373.91,-2,-5,-12,-12,6.4375,65,30,18
2022,TumamocHill,4_2,296,8,263.63,0.6875,-8,-1,-4,6.4375,65,30,18
2021,TumamocHill,4_2,297,9.2,373.91,0.75,-15,0,8.5,6.375,90,8,2
2022,TumamocHill,4_2,297,9.2,263.63,0.5625,-20,-1,-10,6.375,90,8,2
2021,TumamocHill,4_2,298,4.4,373.91,-0.6875,-30,5,9,4.0625,50,25,1.5
2022,TumamocHill,4_2,298,4.4,263.63,0.875,13,-7,-5.5,4.0625,50,25,1.5
2021,TumamocHill,5_1,362,17.4,374.99,2.375,-15,-25,10,4.0625,55,40,4
2022,TumamocHill,5_1,362,17.4,245.03,3.375,-7,2,-8,4.0625,55,40,4
2021,TumamocHill,5_1,363,22.4,374.99,2.125,0,-24,23,3.75,20,40,9
2022,TumamocHill,5_1,363,22.4,245.03,3.4375,5,4,-16,3.75,20,40,9
2021,TumamocHill,5_1,364,18.8,374.99,3.375,2,-3,13,2.9375,23,25,7
2022,TumamocHill,5_1,364,18.8,245.03,4.75,8,-14,-15,2.9375,23,25,7
2022,KinneyHill,76,396,9.8,248.42,1.5,0,-2,-1,2.9375,40,4,2
2022,KinneyHill,76,397,16.2,248.42,3.5,-15,5,-2,2.5,50,25,3
2022,KinneyHill,76,395,14.2,248.42,1.0625,-13,-2,0,2.1875,40,12,1
2022,KinneyHill,57,398,16.8,248.09,1.0625,0,-9,6,1.3125,25,15,5
2022,KinneyHill,57,400,20,248.09,1.3125,0,-1,-5,1.875,30,10,6
2022,KinneyHill,57,399,22.8,248.09,1.5,2,1,3,1.75,20,0,2
2022,KinneyHill,78,401,20,246.82,0.9375,5,-7,-10.5,2.1875,13,13,15
2022,KinneyHill,78,402,9.8,246.82,1.0625,0,-5,1,3.875,30,18,1
2022,KinneyHill,78,403,20.2,246.82,-0.0625,-15,-5,-2.5,3.75,50,10,3
2022,KinneyHill,77,406,15,246.72,-0.3125,0,-2,-16,4.0625,25,2,25
2022,KinneyHill,77,405,15.2,246.72,0.875,15,2,-15,2.8125,8,15,20
2022,KinneyHill,77,404,28.4,246.72,0.3125,-2,20,-16,1.3125,25,10,27
2022,KinneyHill,66,411,17,247.15,-5.625,-12,-9,-21,13.875,35,18,23
2022,KinneyHill,66,412,21,247.15,-2.375,3,-4,-5,8.0625,22,9,7.5
2022,KinneyHill,66,410,16.8,247.15,-5.5,0,-9,-13.5,17.0625,40,15,16
2022,KinneyHill,68,415,20.2,252.67,-4.875,-2,1,2.5,7.75,25,10,2.5
2022,KinneyHill,68,413,21.2,252.67,-6.9375,0,2,-7.5,11.1875,33,13,9
2022,KinneyHill,68,414,20.8,252.67,-2.5,2,-1,1.5,5.625,18,17,4
2022,KinneyHill,70,409,18.8,247.55,-5.3125,-15,0,-0.5,10.3125,35,5,1
2022,KinneyHill,70,408,20.8,247.55,-1.8125,0,-2,-0.5,5.5,25,3,0.5
2022,KinneyHill,70,407,14.6,247.55,-2.4375,-20,-19,-1,5.5625,35,30,1
2022,LomaVerde,71,416,11.8,338.68,5.0625,2,0,-11,1.875,18,45,22
2023,LomaVerde,71,416,11.8,272.86,-4.9375,15,5,-1,1.875,18,45,22
2023,LomaVerde,71,417,20,272.86,-4.1875,0,1,1,2.6875,35,20,22
2022,LomaVerde,71,417,20,338.68,3.625,5,-3,-21,2.6875,35,20,22
2022,LomaVerde,71,418,18.4,338.68,7.6875,-10,2,-2,3.625,60,15,6
2023,LomaVerde,71,418,18.4,272.86,-8.9375,5,-7,-3,3.625,60,15,6
2022,LomaVerde,74,422,20.8,340.8,2.875,5,0,-9,3.1875,25,15,11
2023,LomaVerde,74,422,20.8,263.65,-1.9375,5,7,5,3.1875,25,15,11
2022,LomaVerde,74,424,21,340.8,1.4375,-7,-3,-13.5,1.0625,40,15,14
2023,LomaVerde,74,424,21,263.65,1.5625,17,18,4.5,1.0625,40,15,14
2022,LomaVerde,74,423,16.2,340.8,1.5625,0,0,-26,1.125,25,15,27
2023,LomaVerde,74,423,16.2,263.65,-1.375,10,15,3,1.125,25,15,27
2022,LomaVerde,73,419,15,340.5,9.3125,10,-10,-3,2,25,20,5
2023,LomaVerde,73,419,15,272.1,-6.4375,-15,50,0,2,25,20,5
2022,LomaVerde,73,421,22,340.5,10.3125,5,5,-15,1.375,15,35,22
2023,LomaVerde,73,421,22,272.1,-7.3125,15,-20,-7,1.375,15,35,22
2022,LomaVerde,73,420,17.6,340.5,24.3125,5,4,-11,3.75,40,4,18
2023,LomaVerde,73,420,17.6,272.1,-18.875,-10,2,-6,3.75,40,4,18
2022,ApachePeak,79,425,26.2,266.05,1.625,20,-1,-5,4.3125,45,4,9
2023,ApachePeak,79,425,26.2,237.77,-3.5625,-15,9,-4,4.3125,45,4,9
2022,ApachePeak,79,427,18.6,266.05,1.5625,10,-2,1.5,5.3125,40,10,0.5
2023,ApachePeak,79,427,18.6,237.77,-4.0625,-10,7,-2,5.3125,40,10,0.5
2022,ApachePeak,79,426,20,266.05,1.625,30,3,-4,3.625,50,7,5
2023,ApachePeak,79,426,20,237.77,-2.75,-35,25,-1,3.625,50,7,5
2022,ApachePeak,85,441,17,265.12,1,25,-7,3,3.5,65,10,2
2023,ApachePeak,85,441,17,239.64,-2.3125,-20,15,-5,3.5,65,10,2
2022,ApachePeak,85,440,20,265.35,-1.6875,30,-6,3,6.0625,25,10,3
2023,ApachePeak,85,440,20,239.64,-0.875,5,6,-1,6.0625,25,10,3
2022,ApachePeak,85,439,20.6,265.35,-0.75,10,2,1,4.4375,70,13,0
2023,ApachePeak,85,439,20.6,239.64,-0.125,-35,10,-1,4.4375,70,13,0
2022,ApachePeak,83,435,20.8,263.85,3.4375,5,-5,22.5,6.6875,25,22,8
2023,ApachePeak,83,435,20.8,238.46,-8,-7,1,-30,6.6875,25,22,8
2022,ApachePeak,83,434,21.2,263.85,3.375,-3,-7,23,5.75,20,15,12
2023,ApachePeak,83,434,21.2,238.46,-6.0625,8,17,-28,5.75,20,15,12
2022,ApachePeak,83,433,20.8,263.85,1.875,18,-6,4,5.25,22,10,7
2023,ApachePeak,83,433,20.8,238.46,-4.625,-15,6,-10,5.25,22,10,7
2022,ApachePeak,82,431,8.8,265.65,-1,9,-8,8,6.75,18,18,6
2023,ApachePeak,82,431,8.8,238.71,-2.875,-5,-2,-12,6.75,18,18,6
2022,ApachePeak,82,432,9.4,265.65,-4.625,-6,-10,4,6.75,18,18,6
2023,ApachePeak,82,432,9.4,238.71,-0.625,3,17,-9.5,6.75,18,18,6
2022,ApachePeak,82,430,4.2,265.65,-5.1875,-2,-15,3,8.6875,12,25,5
2023,ApachePeak,82,430,4.2,238.71,-1.875,5,2,-5,8.6875,12,25,5
2022,ApachePeak,84,436,25.8,263.63,0.4375,15,-3,2,3.1875,10,8,10
2023,ApachePeak,84,436,25.8,238.8,-2.25,20,8,-7,3.1875,10,8,10
2022,ApachePeak,84,438,22.6,263.63,0.1875,8,-7,0.5,7.5,25,18,3.5
2023,ApachePeak,84,438,22.6,238.8,-4.625,17,9,-2,7.5,25,18,3.5
2022,ApachePeak,84,437,23.4,263.63,0.0625,13,-4,-4.5,4.8125,25,18,9
2023,ApachePeak,84,437,23.4,238.8,-2.0625,2,21,-2.5,4.8125,25,18,9
2022,ApachePeak,80,428,21,265.61,4.375,10,-5,7,6.5625,20,13,4
2023,ApachePeak,80,428,21,238.66,-8.6875,7,15,-7,6.5625,20,13,4
2022,ApachePeak,80,429,20,265.61,4.9375,-3,-6,6,4.625,18,10,5
2023,ApachePeak,80,429,20,238.66,-7.0625,10,14,-7,4.625,18,10,5
