Year;Site;Transect;Plot;Aspect;PlotSlope;Prev_year_precip;Survival_perc;BGDensity;BGCover;ShrubCover;HerbCover
2021;ApachePeak;85;441;E;17,0;321,29;0,2631578947368421;3,5000;65;10,0;2,0
2022;ApachePeak;79;425;W;26,2;266,05;0,5500000000000000;5,9375;65;3,0;4,0
2022;ApachePeak;79;426;W;20,0;266,05;0,2500000000000000;5,2500;80;10,0;1,0
2022;ApachePeak;79;427;W;18,6;266,05;0,0000000000000000;6,8750;50;8,0;2,0
2022;ApachePeak;80;428;E;21,0;265,61;0,4000000000000000;10,9375;30;8,0;11,0
2022;ApachePeak;80;429;E;20,0;265,61;0,4090909090909091;9,5625;15;4,0;11,0
2022;ApachePeak;82;431;E;8,8;265,65;0,2500000000000000;5,7500;27;10,0;14,0
2022;ApachePeak;82;432;E;9,4;265,65;0,1000000000000000;2,1250;12;8,0;10,0
2022;ApachePeak;83;433;W;20,8;263,85;0,2000000000000000;7,1250;40;4,0;11,0
2022;ApachePeak;83;434;W;21,2;263,85;0,2500000000000000;9,1250;17;8,0;35,0
2022;ApachePeak;83;435;W;20,8;263,85;0,2500000000000000;10,1250;30;17,0;30,5
2022;ApachePeak;84;436;S;25,8;263,63;0,1578947368421052;3,6250;25;5,0;12,0
2022;ApachePeak;84;437;S;23,4;263,63;0,2000000000000000;4,8750;38;14,0;4,5
2022;ApachePeak;84;438;S;22,6;263,63;0,1250000000000000;7,6875;33;11,0;4,0
2022;ApachePeak;85;439;E;20,6;265,35;0,2608695652173913;3,6875;80;15,0;1,0
2022;ApachePeak;85;440;E;20,0;265,35;0,6190476190476191;4,3750;55;4,0;6,0
2022;ApachePeak;85;441;E;17,0;265,12;0,1904761904761905;4,5000;90;3,0;5,0
2023;ApachePeak;79;425;W;26,2;237,77;0,1764705882352941;2,3750;50;12,0;0,0
2023;ApachePeak;79;426;W;20,0;237,77;0,0000000000000000;2,5000;45;35,0;0,0
2023;ApachePeak;79;427;W;18,6;237,77;0,1875000000000000;2,8125;40;15,0;0,0
2023;ApachePeak;80;428;E;21,0;238,66;0,0625000000000000;2,2500;37;23,0;4,0
2023;ApachePeak;80;429;E;20,0;238,66;0,2666666666666667;2,5000;25;18,0;4,0
2023;ApachePeak;82;431;E;8,8;238,71;0,2666666666666667;2,8750;22;8,0;2,0
2023;ApachePeak;82;432;E;9,4;238,71;0,0000000000000000;1,5000;15;25,0;0,5
2023;ApachePeak;83;433;W;20,8;238,46;0,0000000000000000;2,5000;25;10,0;1,0
2023;ApachePeak;83;434;W;21,2;238,46;0,0800000000000000;3,0625;25;25,0;7,0
2023;ApachePeak;83;435;W;20,8;238,46;0,0714285714285714;2,1250;23;18,0;0,5
2023;ApachePeak;84;436;S;25,8;238,80;0,2105263157894737;1,3750;45;13,0;5,0
2023;ApachePeak;84;437;S;23,4;238,80;0,0476190476190476;2,8125;40;35,0;2,0
2023;ApachePeak;84;438;S;22,6;238,80;0,1304347826086956;3,0625;50;20,0;2,0
2023;ApachePeak;85;439;E;20,6;239,64;0,1666666666666667;3,5625;45;25,0;0,0
2023;ApachePeak;85;440;E;20,0;239,64;0,0588235294117647;3,5000;60;10,0;5,0
2023;ApachePeak;85;441;E;17,0;239,64;0,0000000000000000;2,1875;70;18,0;0,0
