Date,Observers,Year,StudyYear,Site,Transect,Plot,Plant_ID,BGDensity,BGCover,ShrubCover,ForbCover,NGCover,PlotSlope,Aspect,Vegetative_culms,Reproductive_culms,Longestleaflength_cm,Total_Live_Culms,Notes,Latitude,Longitude,Elevation_ft,SiteDateTransectID,Prev_year_precip,MAP,MAT,Perc_dev,Deviation_mm,HerbCover,BGCover_log,BGDensity_log,Change_Reproductive_culms,Change_Total_Live_Culms,Change_BGDensity,Change_BGCover,Change_NGCover,Change_ForbCover,Change_HerbCover,Change_ShrubCover
2021-09-26T00:00:00Z,"KH, LO, SZ, Brooklyn, Kayla",2021,2,TumamocHill,5_2,260,6,4.5625,33,20,0.5,0.5,10.2,W,24,28,110,52,NA,32.217616666666665,-111.00736666666668,2830,15,367.02,276.05,20.9,0.3295417496830283,90.96999999999997,1,3.4965075614664802,1.5178707189086098,20,28,2.875,8,0.5,-0.5,0,-5
2022-11-15T00:00:00Z,"KH, AK",2022,3,TumamocHill,5_2,260,6,7.3125,40,35,0.5,1,10.2,W,30,23,86.4,53,NA,32.217616666666665,-111.00736666666668,2830,33,243.73,276.05,20.9,-0.11708023908712197,-32.32000000000002,1.5,3.6888794541139363,1.989585212557975,-5,1,2.75,7,0.5,0,0.5,15
2021-09-26T00:00:00Z,"KH, LO, SZ, Brooklyn, Kayla",2021,2,TumamocHill,5_2,260,7,4.5625,33,20,0.5,0.5,10.2,W,35,10,112,45,NA,32.217616666666665,-111.00736666666668,2830,15,367.02,276.05,20.9,0.3295417496830283,90.96999999999997,1,3.4965075614664802,1.5178707189086098,6,27,2.875,8,0.5,-0.5,0,-5
2022-11-15T00:00:00Z,"KH, AK",2022,3,TumamocHill,5_2,260,7,7.3125,40,35,0.5,1,10.2,W,34,29,92.8,63,NA,32.217616666666665,-111.00736666666668,2830,33,243.73,276.05,20.9,-0.11708023908712197,-32.32000000000002,1.5,3.6888794541139363,1.989585212557975,19,18,2.75,7,0.5,0,0.5,15
2021-09-26T00:00:00Z,"KH, LO, SZ, Brooklyn, Kayla",2021,2,TumamocHill,5_2,260,8,4.5625,33,20,0.5,0.5,10.2,W,26,10,106,36,NA,32.217616666666665,-111.00736666666668,2830,15,367.02,276.05,20.9,0.3295417496830283,90.96999999999997,1,3.4965075614664802,1.5178707189086098,9,10,2.875,8,0.5,-0.5,0,-5
2022-11-15T00:00:00Z,"KH, AK",2022,3,TumamocHill,5_2,260,8,7.3125,40,35,0.5,1,10.2,W,60,6,80.6,66,NA,32.217616666666665,-111.00736666666668,2830,33,243.73,276.05,20.9,-0.11708023908712197,-32.32000000000002,1.5,3.6888794541139363,1.989585212557975,-4,30,2.75,7,0.5,0,0.5,15
2021-09-26T00:00:00Z,"KH, LO, SZ, Brooklyn, Kayla",2021,2,TumamocHill,5_2,260,9,4.5625,33,20,0.5,0.5,10.2,W,0,0,0,0,plant dead,32.217616666666665,-111.00736666666668,2830,15,367.02,276.05,20.9,0.3295417496830283,90.96999999999997,1,3.4965075614664802,1.5178707189086098,-1,-3,2.875,8,0.5,-0.5,0,-5
2022-11-15T00:00:00Z,"KH, AK",2022,3,TumamocHill,5_2,260,9,7.3125,40,35,0.5,1,10.2,W,0,0,0,0,dead,32.217616666666665,-111.00736666666668,2830,33,243.73,276.05,20.9,-0.11708023908712197,-32.32000000000002,1.5,3.6888794541139363,1.989585212557975,0,0,2.75,7,0.5,0,0.5,15
2021-09-26T00:00:00Z,"KH, LO, SZ, Brooklyn, Kayla",2021,2,TumamocHill,5_2,260,10,4.5625,33,20,0.5,0.5,10.2,W,34,10,137,44,NA,32.217616666666665,-111.00736666666668,2830,15,367.02,276.05,20.9,0.3295417496830283,90.96999999999997,1,3.4965075614664802,1.5178707189086098,7,34,2.875,8,0.5,-0.5,0,-5
2022-11-15T00:00:00Z,"KH, AK",2022,3,TumamocHill,5_2,260,10,7.3125,40,35,0.5,1,10.2,W,36,25,100.2,61,NA,32.217616666666665,-111.00736666666668,2830,33,243.73,276.05,20.9,-0.11708023908712197,-32.32000000000002,1.5,3.6888794541139363,1.989585212557975,15,17,2.75,7,0.5,0,0.5,15
2021-09-26T00:00:00Z,"KH, LO, SZ, Brooklyn, Kayla",2021,2,TumamocHill,5_2,261,11,10.5,40,5,8,13,6.6,W,0,0,0,0,plant dead; no germ bag,32.217616666666665,-111.00736666666668,2830,15,367.02,276.05,20.9,0.3295417496830283,90.96999999999997,21,3.6888794541139363,2.3513752571634776,-2,-5,7.375,0,8,7,15,-3
2022-11-15T00:00:00Z,"KH, AK",2022,3,TumamocHill,5_2,261,11,10.5625,30,8,0,5,6.6,W,0,0,0,0,dead,32.217616666666665,-111.00736666666668,2830,33,243.73,276.05,20.9,-0.11708023908712197,-32.32000000000002,5,3.4011973816621555,2.3573099926832923,0,0,0.0625,-10,-8,-8,-16,3
2021-09-26T00:00:00Z,"KH, LO, SZ, Brooklyn, Kayla",2021,2,TumamocHill,5_2,261,12,10.5,40,5,8,13,6.6,W,0,0,0,0,plant dead,32.217616666666665,-111.00736666666668,2830,15,367.02,276.05,20.9,0.3295417496830283,90.96999999999997,21,3.6888794541139363,2.3513752571634776,-11,-18,7.375,0,8,7,15,-3
2022-11-15T00:00:00Z,"KH, AK",2022,3,TumamocHill,5_2,261,12,10.5625,30,8,0,5,6.6,W,0,0,0,0,dead,32.217616666666665,-111.00736666666668,2830,33,243.73,276.05,20.9,-0.11708023908712197,-32.32000000000002,5,3.4011973816621555,2.3573099926832923,0,0,0.0625,-10,-8,-8,-16,3
2021-09-26T00:00:00Z,"KH, LO, SZ, Brooklyn, Kayla",2021,2,TumamocHill,5_2,261,13,10.5,40,5,8,13,6.6,W,29,14,105,43,NA,32.217616666666665,-111.00736666666668,2830,15,367.02,276.05,20.9,0.3295417496830283,90.96999999999997,21,3.6888794541139363,2.3513752571634776,-6,-17,7.375,0,8,7,15,-3
2022-11-15T00:00:00Z,"KH, AK",2022,3,TumamocHill,5_2,261,13,10.5625,30,8,0,5,6.6,W,29,17,84.6,46,NA,32.217616666666665,-111.00736666666668,2830,33,243.73,276.05,20.9,-0.11708023908712197,-32.32000000000002,5,3.4011973816621555,2.3573099926832923,3,3,0.0625,-10,-8,-8,-16,3
2021-09-26T00:00:00Z,"KH, LO, SZ, Brooklyn, Kayla",2021,2,TumamocHill,5_2,261,14,10.5,40,5,8,13,6.6,W,4,7,109,11,NA,32.217616666666665,-111.00736666666668,2830,15,367.02,276.05,20.9,0.3295417496830283,90.96999999999997,21,3.6888794541139363,2.3513752571634776,-4,-20,7.375,0,8,7,15,-3
2022-11-15T00:00:00Z,"KH, AK",2022,3,TumamocHill,5_2,261,14,10.5625,30,8,0,5,6.6,W,11,8,93.6,19,NA,32.217616666666665,-111.00736666666668,2830,33,243.73,276.05,20.9,-0.11708023908712197,-32.32000000000002,5,3.4011973816621555,2.3573099926832923,1,8,0.0625,-10,-8,-8,-16,3
2021-09-26T00:00:00Z,"KH, LO, SZ, Brooklyn, Kayla",2021,2,TumamocHill,5_2,261,15,10.5,40,5,8,13,6.6,W,48,19,119,67,NA,32.217616666666665,-111.00736666666668,2830,15,367.02,276.05,20.9,0.3295417496830283,90.96999999999997,21,3.6888794541139363,2.3513752571634776,12,34,7.375,0,8,7,15,-3
2022-11-15T00:00:00Z,"KH, AK",2022,3,TumamocHill,5_2,261,15,10.5625,30,8,0,5,6.6,W,72,15,91.4,87,NA,32.217616666666665,-111.00736666666668,2830,33,243.73,276.05,20.9,-0.11708023908712197,-32.32000000000002,5,3.4011973816621555,2.3573099926832923,-4,20,0.0625,-10,-8,-8,-16,3
2021-09-26T00:00:00Z,"KH, LO, SZ, Brooklyn, Kayla",2021,2,TumamocHill,5_2,261,16,10.5,40,5,8,13,6.6,W,29,16,120,45,NA,32.217616666666665,-111.00736666666668,2830,15,367.02,276.05,20.9,0.3295417496830283,90.96999999999997,21,3.6888794541139363,2.3513752571634776,1,11,7.375,0,8,7,15,-3
2022-11-15T00:00:00Z,"KH, AK",2022,3,TumamocHill,5_2,261,16,10.5625,30,8,0,5,6.6,W,32,0,87.2,32,NA,32.217616666666665,-111.00736666666668,2830,33,243.73,276.05,20.9,-0.11708023908712197,-32.32000000000002,5,3.4011973816621555,2.3573099926832923,-16,-13,0.0625,-10,-8,-8,-16,3
2021-09-26T00:00:00Z,"KH, LO, SZ, Brooklyn, Kayla",2021,2,TumamocHill,5_2,261,17,10.5,40,5,8,13,6.6,W,42,21,116,63,NA,32.217616666666665,-111.00736666666668,2830,15,367.02,276.05,20.9,0.3295417496830283,90.96999999999997,21,3.6888794541139363,2.3513752571634776,14,31,7.375,0,8,7,15,-3
2022-11-15T00:00:00Z,"KH, AK",2022,3,TumamocHill,5_2,261,17,10.5625,30,8,0,5,6.6,W,63,10,83.6,73,NA,32.217616666666665,-111.00736666666668,2830,33,243.73,276.05,20.9,-0.11708023908712197,-32.32000000000002,5,3.4011973816621555,2.3573099926832923,-11,10,0.0625,-10,-8,-8,-16,3
2021-09-26T00:00:00Z,"KH, LO, SZ, Brooklyn, Kayla",2021,2,TumamocHill,5_2,261,18,10.5,40,5,8,13,6.6,W,33,43,98,76,NA,32.217616666666665,-111.00736666666668,2830,15,367.02,276.05,20.9,0.3295417496830283,90.96999999999997,21,3.6888794541139363,2.3513752571634776,36,49,7.375,0,8,7,15,-3
2022-11-15T00:00:00Z,"KH, AK",2022,3,TumamocHill,5_2,261,18,10.5625,30,8,0,5,6.6,W,64,14,90.4,78,NA,32.217616666666665,-111.00736666666668,2830,33,243.73,276.05,20.9,-0.11708023908712197,-32.32000000000002,5,3.4011973816621555,2.3573099926832923,-29,2,0.0625,-10,-8,-8,-16,3
2021-09-26T00:00:00Z,"KH, LO, SZ, Brooklyn, Kayla",2021,2,TumamocHill,5_2,261,19,10.5,40,5,8,13,6.6,W,7,10,96,17,NA,32.217616666666665,-111.00736666666668,2830,15,367.02,276.05,20.9,0.3295417496830283,90.96999999999997,21,3.6888794541139363,2.3513752571634776,1,-2,7.375,0,8,7,15,-3
2022-11-15T00:00:00Z,"KH, AK",2022,3,TumamocHill,5_2,261,19,10.5625,30,8,0,5,6.6,W,16,10,97.4,26,NA,32.217616666666665,-111.00736666666668,2830,33,243.73,276.05,20.9,-0.11708023908712197,-32.32000000000002,5,3.4011973816621555,2.3573099926832923,0,9,0.0625,-10,-8,-8,-16,3
2021-09-26T00:00:00Z,"KH, LO, SZ, Brooklyn, Kayla",2021,2,TumamocHill,5_2,261,20,10.5,40,5,8,13,6.6,W,6,18,109,24,NA,32.217616666666665,-111.00736666666668,2830,15,367.02,276.05,20.9,0.3295417496830283,90.96999999999997,21,3.6888794541139363,2.3513752571634776,6,-4,7.375,0,8,7,15,-3
2022-11-15T00:00:00Z,"KH, AK",2022,3,TumamocHill,5_2,261,20,10.5625,30,8,0,5,6.6,W,16,16,80.2,32,NA,32.217616666666665,-111.00736666666668,2830,33,243.73,276.05,20.9,-0.11708023908712197,-32.32000000000002,5,3.4011973816621555,2.3573099926832923,-2,8,0.0625,-10,-8,-8,-16,3
2021-09-26T00:00:00Z,"KH, LO, SZ, Brooklyn, Kayla",2021,2,TumamocHill,5_2,262,21,4.1875,50,15,12,20,14.6,W,31,27,99,58,NA,32.217616666666665,-111.00736666666668,2830,15,367.02,276.05,20.9,0.3295417496830283,90.96999999999997,32,3.912023005428146,1.4321038971511848,15,31,1.6875,20,-5,11,6,-25
2022-11-15T00:00:00Z,"KH, AK",2022,3,TumamocHill,5_2,262,21,11.125,27,30,8,5,14.6,W,34,40,101.6,74,NA,32.217616666666665,-111.00736666666668,2830,33,243.73,276.05,20.9,-0.11708023908712197,-32.32000000000002,13,3.295836866004329,2.409194828052304,13,16,6.9375,-23,-15,-4,-19,15
2021-09-26T00:00:00Z,"KH, LO, SZ, Brooklyn, Kayla",2021,2,TumamocHill,5_2,262,22,4.1875,50,15,12,20,14.6,W,0,0,0,0,plant dead,32.217616666666665,-111.00736666666668,2830,15,367.02,276.05,20.9,0.3295417496830283,90.96999999999997,32,3.912023005428146,1.4321038971511848,-10,-17,1.6875,20,-5,11,6,-25
2022-11-15T00:00:00Z,"KH, AK",2022,3,TumamocHill,5_2,262,22,11.125,27,30,8,5,14.6,W,0,0,0,0,dead,32.217616666666665,-111.00736666666668,2830,33,243.73,276.05,20.9,-0.11708023908712197,-32.32000000000002,13,3.295836866004329,2.409194828052304,0,0,6.9375,-23,-15,-4,-19,15
2021-09-26T00:00:00Z,"KH, LO, SZ, Brooklyn, Kayla",2021,2,TumamocHill,5_2,262,23,4.1875,50,15,12,20,14.6,W,18,3,104,22,NA,32.217616666666665,-111.00736666666668,2830,15,367.02,276.05,20.9,0.3295417496830283,90.96999999999997,32,3.912023005428146,1.4321038971511848,1,10,1.6875,20,-5,11,6,-25
2022-11-15T00:00:00Z,"KH, AK",2022,3,TumamocHill,5_2,262,23,11.125,27,30,8,5,14.6,W,25,21,90.8,46,NA,32.217616666666665,-111.00736666666668,2830,33,243.73,276.05,20.9,-0.11708023908712197,-32.32000000000002,13,3.295836866004329,2.409194828052304,18,24,6.9375,-23,-15,-4,-19,15
2021-09-26T00:00:00Z,"KH, LO, SZ, Brooklyn, Kayla",2021,2,TumamocHill,5_2,262,24,4.1875,50,15,12,20,14.6,W,32,13,103,45,NA,32.217616666666665,-111.00736666666668,2830,15,367.02,276.05,20.9,0.3295417496830283,90.96999999999997,32,3.912023005428146,1.4321038971511848,11,32,1.6875,20,-5,11,6,-25
2022-11-15T00:00:00Z,"KH, AK",2022,3,TumamocHill,5_2,262,24,11.125,27,30,8,5,14.6,W,32,17,100.8,49,NA,32.217616666666665,-111.00736666666668,2830,33,243.73,276.05,20.9,-0.11708023908712197,-32.32000000000002,13,3.295836866004329,2.409194828052304,4,4,6.9375,-23,-15,-4,-19,15
2021-09-26T00:00:00Z,"KH, LO, SZ, Brooklyn, Kayla",2021,2,TumamocHill,5_2,262,25,4.1875,50,15,12,20,14.6,W,0,0,0,0,plant dead,32.217616666666665,-111.00736666666668,2830,15,367.02,276.05,20.9,0.3295417496830283,90.96999999999997,32,3.912023005428146,1.4321038971511848,-25,-31,1.6875,20,-5,11,6,-25
2022-11-15T00:00:00Z,"KH, AK",2022,3,TumamocHill,5_2,262,25,11.125,27,30,8,5,14.6,W,0,0,0,0,dead,32.217616666666665,-111.00736666666668,2830,33,243.73,276.05,20.9,-0.11708023908712197,-32.32000000000002,13,3.295836866004329,2.409194828052304,0,0,6.9375,-23,-15,-4,-19,15
2021-09-26T00:00:00Z,"KH, LO, SZ, Brooklyn, Kayla",2021,2,TumamocHill,5_2,262,26,4.1875,50,15,12,20,14.6,W,10,51,103,61,NA,32.217616666666665,-111.00736666666668,2830,15,367.02,276.05,20.9,0.3295417496830283,90.96999999999997,32,3.912023005428146,1.4321038971511848,20,-12,1.6875,20,-5,11,6,-25
2022-11-15T00:00:00Z,"KH, AK",2022,3,TumamocHill,5_2,262,26,11.125,27,30,8,5,14.6,W,86,41,102.2,127,NA,32.217616666666665,-111.00736666666668,2830,33,243.73,276.05,20.9,-0.11708023908712197,-32.32000000000002,13,3.295836866004329,2.409194828052304,-10,66,6.9375,-23,-15,-4,-19,15
2021-09-26T00:00:00Z,"KH, LO, SZ, Brooklyn, Kayla",2021,2,TumamocHill,5_2,262,27,4.1875,50,15,12,20,14.6,W,11,9,105,20,NA,32.217616666666665,-111.00736666666668,2830,15,367.02,276.05,20.9,0.3295417496830283,90.96999999999997,32,3.912023005428146,1.4321038971511848,-2,-10,1.6875,20,-5,11,6,-25
2022-11-15T00:00:00Z,"KH, AK",2022,3,TumamocHill,5_2,262,27,11.125,27,30,8,5,14.6,W,0,0,0,0,dead,32.217616666666665,-111.00736666666668,2830,33,243.73,276.05,20.9,-0.11708023908712197,-32.32000000000002,13,3.295836866004329,2.409194828052304,-9,-20,6.9375,-23,-15,-4,-19,15
2021-09-26T00:00:00Z,"KH, LO, SZ, Brooklyn, Kayla",2021,2,TumamocHill,5_2,262,28,4.1875,50,15,12,20,14.6,W,16,1,127,17,NA,32.217616666666665,-111.00736666666668,2830,15,367.02,276.05,20.9,0.3295417496830283,90.96999999999997,32,3.912023005428146,1.4321038971511848,-28,-57,1.6875,20,-5,11,6,-25
2022-11-15T00:00:00Z,"KH, AK",2022,3,TumamocHill,5_2,262,28,11.125,27,30,8,5,14.6,W,36,9,95.4,45,NA,32.217616666666665,-111.00736666666668,2830,33,243.73,276.05,20.9,-0.11708023908712197,-32.32000000000002,13,3.295836866004329,2.409194828052304,8,28,6.9375,-23,-15,-4,-19,15
2021-09-26T00:00:00Z,"KH, LO, SZ, Brooklyn, Kayla",2021,2,TumamocHill,5_2,262,29,4.1875,50,15,12,20,14.6,W,33,18,126,51,NA,32.217616666666665,-111.00736666666668,2830,15,367.02,276.05,20.9,0.3295417496830283,90.96999999999997,32,3.912023005428146,1.4321038971511848,12,26,1.6875,20,-5,11,6,-25
2022-11-15T00:00:00Z,"KH, AK",2022,3,TumamocHill,5_2,262,29,11.125,27,30,8,5,14.6,W,68,8,93,76,NA,32.217616666666665,-111.00736666666668,2830,33,243.73,276.05,20.9,-0.11708023908712197,-32.32000000000002,13,3.295836866004329,2.409194828052304,-10,25,6.9375,-23,-15,-4,-19,15
2021-09-26T00:00:00Z,"KH, LO, SZ, Brooklyn, Kayla",2021,2,TumamocHill,5_2,262,30,4.1875,50,15,12,20,14.6,W,6,35,124,41,NA,32.217616666666665,-111.00736666666668,2830,15,367.02,276.05,20.9,0.3295417496830283,90.96999999999997,32,3.912023005428146,1.4321038971511848,31,14,1.6875,20,-5,11,6,-25
2022-11-15T00:00:00Z,"KH, AK",2022,3,TumamocHill,5_2,262,30,11.125,27,30,8,5,14.6,W,62,17,87.2,79,NA,32.217616666666665,-111.00736666666668,2830,33,243.73,276.05,20.9,-0.11708023908712197,-32.32000000000002,13,3.295836866004329,2.409194828052304,-18,38,6.9375,-23,-15,-4,-19,15
2021-09-26T00:00:00Z,"KH, LO, SZ, Brooklyn, Kayla",2021,2,TumamocHill,5_3,40,31,8.6875,45,10,0.5,13,8,N,28,32,102,50,NA,32.21783333333333,-111.00748333333334,2816,16,366.99,276.04,20.9,0.32948123460368056,90.94999999999999,13.5,3.8066624897703196,2.1618852108909103,26,10,3.5,15,-7,-2.5,-9.5,0
2022-11-15T00:00:00Z,"KH, AK",2022,3,TumamocHill,5_3,40,31,16.75,38,10,1,1,8,N,23,25,82,48,NA,32.21783333333333,-111.00748333333334,2816,34,243.62,276.04,20.9,-0.1174467468482829,-32.420000000000016,2,3.6375861597263857,2.8183982582710754,-7,-2,8.0625,-7,-12,0.5,-11.5,0
2021-09-26T00:00:00Z,"KH, LO, SZ, Brooklyn, Kayla",2021,2,TumamocHill,5_3,40,32,8.6875,45,10,0.5,13,8,N,0,0,0,0,plant dead,32.21783333333333,-111.00748333333334,2816,16,366.99,276.04,20.9,0.32948123460368056,90.94999999999999,13.5,3.8066624897703196,2.1618852108909103,0,-5,3.5,15,-7,-2.5,-9.5,0
2022-11-15T00:00:00Z,"KH, AK",2022,3,TumamocHill,5_3,40,32,16.75,38,10,1,1,8,N,0,0,0,0,dead,32.21783333333333,-111.00748333333334,2816,34,243.62,276.04,20.9,-0.1174467468482829,-32.420000000000016,2,3.6375861597263857,2.8183982582710754,0,0,8.0625,-7,-12,0.5,-11.5,0
2021-09-26T00:00:00Z,"KH, LO, SZ, Brooklyn, Kayla",2021,2,TumamocHill,5_3,40,33,8.6875,45,10,0.5,13,8,N,0,0,0,0,plant dead,32.21783333333333,-111.00748333333334,2816,16,366.99,276.04,20.9,0.32948123460368056,90.94999999999999,13.5,3.8066624897703196,2.1618852108909103,-2,-11,3.5,15,-7,-2.5,-9.5,0
2022-11-15T00:00:00Z,"KH, AK",2022,3,TumamocHill,5_3,40,33,16.75,38,10,1,1,8,N,0,0,0,0,dead,32.21783333333333,-111.00748333333334,2816,34,243.62,276.04,20.9,-0.1174467468482829,-32.420000000000016,2,3.6375861597263857,2.8183982582710754,0,0,8.0625,-7,-12,0.5,-11.5,0
2021-09-26T00:00:00Z,"KH, LO, SZ, Brooklyn, Kayla",2021,2,TumamocHill,5_3,40,34,8.6875,45,10,0.5,13,8,N,34,13,121,47,NA,32.21783333333333,-111.00748333333334,2816,16,366.99,276.04,20.9,0.32948123460368056,90.94999999999999,13.5,3.8066624897703196,2.1618852108909103,6,22,3.5,15,-7,-2.5,-9.5,0
2022-11-15T00:00:00Z,"KH, AK",2022,3,TumamocHill,5_3,40,34,16.75,38,10,1,1,8,N,51,32,89.6,83,NA,32.21783333333333,-111.00748333333334,2816,34,243.62,276.04,20.9,-0.1174467468482829,-32.420000000000016,2,3.6375861597263857,2.8183982582710754,19,36,8.0625,-7,-12,0.5,-11.5,0
2021-09-26T00:00:00Z,"KH, LO, SZ, Brooklyn, Kayla",2021,2,TumamocHill,5_3,40,35,8.6875,45,10,0.5,13,8,N,19,18,115,37,NA,32.21783333333333,-111.00748333333334,2816,16,366.99,276.04,20.9,0.32948123460368056,90.94999999999999,13.5,3.8066624897703196,2.1618852108909103,10,6,3.5,15,-7,-2.5,-9.5,0
2022-11-15T00:00:00Z,"KH, AK",2022,3,TumamocHill,5_3,40,35,16.75,38,10,1,1,8,N,33,45,106.2,78,NA,32.21783333333333,-111.00748333333334,2816,34,243.62,276.04,20.9,-0.1174467468482829,-32.420000000000016,2,3.6375861597263857,2.8183982582710754,27,41,8.0625,-7,-12,0.5,-11.5,0
2021-09-26T00:00:00Z,"KH, LO, SZ, Brooklyn, Kayla",2021,2,TumamocHill,5_3,40,36,8.6875,45,10,0.5,13,8,N,17,5,89,22,NA,32.21783333333333,-111.00748333333334,2816,16,366.99,276.04,20.9,0.32948123460368056,90.94999999999999,13.5,3.8066624897703196,2.1618852108909103,-2,1,3.5,15,-7,-2.5,-9.5,0
2022-11-15T00:00:00Z,"KH, AK",2022,3,TumamocHill,5_3,40,36,16.75,38,10,1,1,8,N,12,5,73.8,17,NA,32.21783333333333,-111.00748333333334,2816,34,243.62,276.04,20.9,-0.1174467468482829,-32.420000000000016,2,3.6375861597263857,2.8183982582710754,0,-5,8.0625,-7,-12,0.5,-11.5,0
2021-09-26T00:00:00Z,"KH, LO, SZ, Brooklyn, Kayla",2021,2,TumamocHill,5_3,40,37,8.6875,45,10,0.5,13,8,N,8,0,77,8,NA,32.21783333333333,-111.00748333333334,2816,16,366.99,276.04,20.9,0.32948123460368056,90.94999999999999,13.5,3.8066624897703196,2.1618852108909103,-2,-6,3.5,15,-7,-2.5,-9.5,0
2022-11-15T00:00:00Z,"KH, AK",2022,3,TumamocHill,5_3,40,37,16.75,38,10,1,1,8,N,28,9,88.4,37,NA,32.21783333333333,-111.00748333333334,2816,34,243.62,276.04,20.9,-0.1174467468482829,-32.420000000000016,2,3.6375861597263857,2.8183982582710754,9,29,8.0625,-7,-12,0.5,-11.5,0
2021-09-26T00:00:00Z,"KH, LO, SZ, Brooklyn, Kayla",2021,2,TumamocHill,5_3,40,38,8.6875,45,10,0.5,13,8,N,14,14,76,28,NA,32.21783333333333,-111.00748333333334,2816,16,366.99,276.04,20.9,0.32948123460368056,90.94999999999999,13.5,3.8066624897703196,2.1618852108909103,13,20,3.5,15,-7,-2.5,-9.5,0
2022-11-15T00:00:00Z,"KH, AK",2022,3,TumamocHill,5_3,40,38,16.75,38,10,1,1,8,N,19,11,78.2,30,NA,32.21783333333333,-111.00748333333334,2816,34,243.62,276.04,20.9,-0.1174467468482829,-32.420000000000016,2,3.6375861597263857,2.8183982582710754,-3,2,8.0625,-7,-12,0.5,-11.5,0
