Year,Site,Transect,Plot,Prev_year_precip,PlotSlope,Aspect,BGDensity,BGCover,ShrubCover,HerbCover,remaining_toothpicks,seedlings_surviving,Init_BGCover,Init_BGDensity,Init_ShrubCover,Init_HerbCover
2023,ApachePeak,79,425,237.77,26.2,W,2.375,50,12,0,17,3,45,4.3125,4,9
2023,ApachePeak,79,426,237.77,20,W,2.5,45,35,0,15,0,50,3.625,7,5
2023,ApachePeak,79,427,237.77,18.6,W,2.8125,40,15,0,16,3,40,5.3125,10,0.5
2023,ApachePeak,80,428,238.66,21,E,2.25,37,23,4,32,2,20,6.5625,13,4
2023,ApachePeak,80,429,238.66,20,E,2.5,25,18,4,30,8,18,4.625,10,5
2023,ApachePeak,82,431,238.71,8.8,E,2.875,22,8,2,15,4,18,6.75,18,6
2023,ApachePeak,82,432,238.71,9.4,E,1.5,15,25,0.5,10,0,18,6.75,18,6
2023,ApachePeak,83,433,238.46,20.8,W,2.5,25,10,1,17,0,22,5.25,10,7
2023,ApachePeak,83,434,238.46,21.2,W,3.0625,25,25,7,25,2,20,5.75,15,12
2023,ApachePeak,83,435,238.46,20.8,W,2.125,23,18,0.5,14,1,25,6.6875,22,8
2023,ApachePeak,84,436,238.8,25.8,S,1.375,45,13,5,19,4,10,3.1875,8,10
2023,ApachePeak,84,437,238.8,23.4,S,2.8125,40,35,2,21,1,25,4.8125,18,9
2023,ApachePeak,84,438,238.8,22.6,S,3.0625,50,20,2,23,3,25,7.5,18,3.5
2023,ApachePeak,85,439,239.64,20.6,E,3.5625,45,25,0,6,1,70,4.4375,13,0
2023,ApachePeak,85,440,239.64,20,E,3.5,60,10,5,17,1,25,6.0625,10,3
2023,ApachePeak,85,441,239.64,17,E,2.1875,70,18,0,15,0,65,3.5,10,2
2021,KinneyHill,77,406,325.96,15,E,4.0625,25,2,25,20,12,25,4.0625,2,25
2021,KinneyHill,77,405,325.96,15.2,E,2.8125,8,15,20,14,9,8,2.8125,15,20
2021,KinneyHill,77,404,325.96,28.4,E,1.3125,25,10,27,16,6,25,1.3125,10,27
2021,KinneyHill,66,412,333.03,21,S,8.0625,22,9,7.5,21,15,22,8.0625,9,7.5
2021,KinneyHill,66,411,333.03,17,S,13.875,35,18,23,19,17,35,13.875,18,23
2021,KinneyHill,66,410,333.03,16.8,S,17.0625,40,15,16,21,16,40,17.0625,15,16
2021,KinneyHill,70,409,332.19,18.8,S,10.3125,35,5,1,23,16,35,10.3125,5,1
2021,KinneyHill,70,408,332.19,20.8,S,5.5,25,3,0.5,23,11,25,5.5,3,0.5
2021,KinneyHill,70,407,332.19,14.6,S,5.5625,35,30,1,27,13,35,5.5625,30,1
2021,KinneyHill,57,398,323.62,16.8,SW,1.3125,25,15,5,19,4,25,1.3125,15,5
2021,KinneyHill,57,399,323.62,22.8,SW,1.75,20,0,2,22,17,20,1.75,0,2
2021,KinneyHill,57,400,323.62,20,SW,1.875,30,10,6,20,8,30,1.875,10,6
2021,KinneyHill,76,395,322.91,14.2,SW,2.1875,40,12,1,17,16,40,2.1875,12,1
2021,KinneyHill,76,396,322.91,9.8,SW,2.9375,40,4,2,19,15,40,2.9375,4,2
2021,KinneyHill,76,397,322.91,16.2,SW,2.5,50,25,3,22,12,50,2.5,25,3
2021,KinneyHill,78,403,325.69,20.2,E,3.75,50,10,3,18,9,50,3.75,10,3
2021,KinneyHill,78,402,325.69,9.8,E,3.875,30,18,1,24,13,30,3.875,18,1
2021,KinneyHill,78,401,325.69,20,E,2.1875,13,13,15,21,12,13,2.1875,13,15
2021,KinneyHill,68,415,328.83,20.2,W,7.75,25,10,2.5,19,11,25,7.75,10,2.5
2021,KinneyHill,68,413,328.83,21.2,W,11.1875,33,13,9,21,15,33,11.1875,13,9
2021,KinneyHill,68,414,328.83,20.8,W,5.625,18,17,4,21,18,18,5.625,17,4
2022,KinneyHill,70,409,247.55,18.8,S,5,20,5,0.5,18,0,35,10.3125,5,1
2022,KinneyHill,70,408,247.55,20.8,S,3.6875,25,1,0,16,0,25,5.5,3,0.5
2022,KinneyHill,70,407,247.55,14.6,S,3.125,15,11,0,22,0,35,5.5625,30,1
2022,KinneyHill,66,412,247.15,21,S,5.6875,25,5,2.5,26,0,22,8.0625,9,7.5
2022,KinneyHill,66,411,247.15,17,S,8.25,23,9,2,11,0,35,13.875,18,23
2022,KinneyHill,66,410,247.15,16.8,S,11.5625,40,6,2.5,14,1,40,17.0625,15,16
2022,KinneyHill,78,403,246.82,20.2,E,3.6875,35,5,0.5,24,0,50,3.75,10,3
2022,KinneyHill,78,402,246.82,9.8,E,4.9375,30,13,2,28,0,30,3.875,18,1
2022,KinneyHill,78,401,246.82,20,E,3.125,18,6,4.5,20,0,13,2.1875,13,15
2022,KinneyHill,77,404,246.72,28.4,E,1.625,23,30,11,20,0,25,1.3125,10,27
2022,KinneyHill,77,405,246.72,15.2,E,3.6875,23,17,5,18,5,8,2.8125,15,20
2022,KinneyHill,77,406,246.72,15,E,3.75,25,0,9,17,0,25,4.0625,2,25
2022,KinneyHill,57,400,248.09,20,SW,3.1875,30,9,1,19,2,30,1.875,10,6
2022,KinneyHill,57,399,248.09,22.8,SW,3.25,22,1,5,12,0,20,1.75,0,2
2022,KinneyHill,57,398,248.09,16.8,SW,2.375,25,6,11,12,0,25,1.3125,15,5
2022,KinneyHill,76,397,248.42,16.2,SW,6,35,30,1,20,0,50,2.5,25,3
2022,KinneyHill,76,396,248.42,9.8,SW,4.4375,40,2,1,2,0,40,2.9375,4,2
2022,KinneyHill,76,395,248.42,14.2,SW,3.25,27,10,1,20,0,40,2.1875,12,1
2022,KinneyHill,68,413,252.67,21.2,W,4.25,33,15,1.5,17,0,33,11.1875,13,9
2022,KinneyHill,68,415,252.67,20.2,W,2.875,23,11,5,20,0,25,7.75,10,2.5
2022,KinneyHill,68,414,252.67,20.8,W,3.125,20,16,5.5,20,1,18,5.625,17,4
2021,LomaVerde,73,421,501,22,S,1.375,15,35,22,11,0,15,1.375,35,22
2021,LomaVerde,73,420,501,17.6,S,3.75,40,4,18,5,1,40,3.75,4,18
2021,LomaVerde,73,419,501,15,S,2,25,20,5,4,1,25,2,20,5
2021,LomaVerde,74,424,501.29,21,SW,1.0625,40,15,14,3,1,40,1.0625,15,14
2021,LomaVerde,71,418,499.34,18.4,W,3.625,60,15,6,17,5,60,3.625,15,6
2021,LomaVerde,71,417,499.34,20,W,2.6875,35,20,22,4,1,35,2.6875,20,22
2021,LomaVerde,71,416,499.34,11.8,W,1.875,18,45,22,13,2,18,1.875,45,22
2022,LomaVerde,73,421,340.5,22,S,11.6875,20,40,7,16,1,15,1.375,35,22
2022,LomaVerde,73,420,340.5,17.6,S,28.0625,45,8,7,25,6,40,3.75,4,18
2022,LomaVerde,73,419,340.5,15,S,11.3125,35,10,2,20,0,25,2,20,5
2022,LomaVerde,74,422,340.8,20.8,SW,6.0625,30,15,2,23,2,25,3.1875,15,11
2022,LomaVerde,74,423,340.8,16.2,SW,2.6875,25,15,1,23,0,25,1.125,15,27
2022,LomaVerde,74,424,340.8,21,SW,2.5,33,12,0.5,23,4,40,1.0625,15,14
2022,LomaVerde,71,418,338.68,18.4,W,11.3125,50,17,4,25,5,60,3.625,15,6
2022,LomaVerde,71,417,338.68,20,W,6.3125,40,17,1,26,2,35,2.6875,20,22
2022,LomaVerde,71,416,338.68,11.8,W,6.9375,20,45,11,23,2,18,1.875,45,22
